"","ID","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"1","TCGA-OR-A5J2-01A",0.744503536158305,NA,NA,0.00146995363954624,0.745973489797851,2
"2","TCGA-OR-A5K5-01A",0.949932972844827,NA,NA,-0.104818136233091,0.845114836611736,3
"3","TCGA-OR-A5JW-01A",0.975922453898616,NA,NA,-0.101863227996401,0.874059225902215,3
"4","TCGA-OR-A5L8-01A",0.855268911616013,NA,NA,0.0430527913883362,0.898321703004349,3
"5","TCGA-OR-A5JT-01A",0.984980549661384,NA,NA,0.080670215540148,1.06565076520153,4
"6","TCGA-OR-A5JO-01A",0.683843361802604,NA,NA,-0.0242752811518004,0.659568080650803,2
"7","TCGA-OR-A5JP-01A",1.00769383913465,NA,NA,-0.0246409080290626,0.983052931105588,3
"8","TCGA-OR-A5JI-01A",0.893825051807451,NA,NA,0.0847415866259591,0.97856663843341,3
"9","TCGA-OR-A5KO-01A",1.12329081699748,NA,NA,-0.00577545706107247,1.11751535993641,4
"10","TCGA-OR-A5LE-01A",1.10281350886367,NA,NA,-0.0583086453918907,1.04450486347178,3
"11","TCGA-OR-A5JX-01A",0.834002122125,NA,NA,-0.253370757221987,0.580631364903013,2
"12","TCGA-OR-A5LN-01A",0.888775897905114,NA,NA,-0.00159625866068782,0.887179639244426,3
"13","TCGA-OR-A5LL-01A",1.14697519220073,NA,NA,0.0217568550548369,1.16873204725557,4
"14","TCGA-OR-A5K8-01A",1.01800882226715,NA,NA,-0.0488632002866509,0.969145621980501,3
"15","TCGA-OR-A5L3-01A",1.04441344967525,NA,NA,-0.0393333689206317,1.00508008075461,3
"16","TCGA-OR-A5JG-01A",0.873547329306869,NA,NA,-0.14221616593273,0.731331163374139,2
"17","TCGA-OU-A5PI-01A",0.972695015543741,NA,NA,0.0664312885858979,1.03912630412964,3
"18","TCGA-OR-A5KW-01A",1.03655234724143,NA,NA,-0.0494717057848693,0.987080641456564,3
"19","TCGA-OR-A5JM-01A",1.04610647210588,NA,NA,0.0441620079182456,1.09026848002413,4
"20","TCGA-OR-A5L6-01A",1.03416628146996,NA,NA,0.0555060727051436,1.0896723541751,4
"21","TCGA-OR-A5J9-01A",0.933758137091844,NA,NA,-0.000952701143506263,0.932805435948338,3
"22","TCGA-OR-A5K2-01A",0.985065204245367,NA,NA,-0.208523427425267,0.7765417768201,3
"23","TCGA-OR-A5LT-01A",1.01893154088814,NA,NA,-0.000220739076794229,1.01871080181135,3
"24","TCGA-OR-A5J5-01A",0.760839859694617,NA,NA,0.0413617865356341,0.802201646230251,3
"25","TCGA-OR-A5LH-01A",1.10298621760855,NA,NA,-0.0474218190092941,1.05556439859926,4
"26","TCGA-OR-A5JA-01A",1.05317014339892,NA,NA,-0.0369922518774242,1.0161778915215,3
"27","TCGA-OR-A5LJ-01A",0.735581067020246,NA,NA,0.0673929468013466,0.802974013821592,3
"28","TCGA-OR-A5JL-01A",1.14887253098209,NA,NA,0.00547967728914518,1.15435220827124,4
"29","TCGA-OR-A5JQ-01A",0.642383321038342,NA,NA,0.186621124211825,0.829004445250167,3
"30","TCGA-PK-A5HA-01A",0.777568151113078,NA,NA,0.0157803357169304,0.793348486830008,3
"31","TCGA-OR-A5LO-01A",0.99815805071263,NA,NA,-0.105565272512545,0.892592778200085,3
"32","TCGA-OR-A5K0-01A",1.17572120367216,NA,NA,0.0058832910228978,1.18160449469506,4
"33","TCGA-OR-A5K6-01A",1.08218676460729,NA,NA,-0.203121581760899,0.87906518284639,3
"34","TCGA-OR-A5LB-01A",0.92348295499579,NA,NA,-0.0653392724569572,0.858143682538832,3
"35","TCGA-OR-A5J7-01A",1.08338910204948,NA,NA,0.0338342864116645,1.11722338846114,4
"36","TCGA-OR-A5LC-01A",1.05574040384802,NA,NA,0.0523358843903435,1.10807628823837,4
"37","TCGA-OR-A5JK-01A",0.552633591721289,NA,NA,0.150543651092159,0.703177242813448,2
"38","TCGA-PK-A5H9-01A",0.992766450318688,NA,NA,0.0355990186104017,1.02836546892909,3
"39","TCGA-PK-A5H8-01A",0.977918769415673,NA,NA,-0.0724207067016674,0.905498062714005,3
"40","TCGA-OR-A5LK-01A",0.610771218162914,NA,NA,0.0620379159439562,0.672809134106871,2
"41","TCGA-OR-A5LP-01A",0.824152425304711,NA,NA,0.035105495392392,0.859257920697103,3
"42","TCGA-OR-A5JV-01A",0.65991437227147,NA,NA,0.000378573002564044,0.660292945274034,2
"43","TCGA-OR-A5JE-01A",1.09314858724336,NA,NA,-0.136514457180386,0.956634130062977,3
"44","TCGA-OR-A5JR-01A",0.91886935823864,NA,NA,0.139470284913651,1.05833964315229,4
"45","TCGA-OR-A5JB-01A",0.290132274012479,NA,NA,-0.0798921269808287,0.210240147031651,1
"46","TCGA-OR-A5K4-01A",0.996044419447029,NA,NA,0.0839590746044978,1.08000349405153,4
"47","TCGA-OR-A5JC-01A",1.02196245537196,NA,NA,-0.109508005647413,0.91245444972455,3
"48","TCGA-OR-A5JS-01A",1.17097177271214,NA,NA,0.015810921741552,1.18678269445369,4
"49","TCGA-OR-A5LS-01A",1.07718328415905,NA,NA,-0.0876030404311545,0.989580243727892,3
"50","TCGA-OR-A5KV-01A",0.930025691213367,NA,NA,-0.0882923158982738,0.841733375315093,3
"51","TCGA-OR-A5JJ-01A",0.798925954988768,NA,NA,0.13420159723894,0.933127552227708,3
"52","TCGA-OR-A5JF-01A",0.965040943517768,NA,NA,-0.0808907966801472,0.88415014683762,3
"53","TCGA-P6-A5OG-01A",0.40367008846552,NA,NA,0.096925243648559,0.500595332114079,2
"54","TCGA-PA-A5YG-01A",0.775121101742142,NA,NA,0.161123638811023,0.936244740553165,3
"55","TCGA-OR-A5KZ-01A",1.00018274971375,NA,NA,0.130586602834727,1.13076935254848,4
"56","TCGA-OR-A5J8-01A",0.314251731577645,NA,NA,0.182150630113053,0.496402361690698,2
"57","TCGA-PK-A5HB-01A",0.873388306302389,NA,NA,-0.0864858380228336,0.786902468279555,3
"58","TCGA-OR-A5K9-01A",0.868111651642885,NA,NA,-0.0231799140695555,0.84493173757333,3
"59","TCGA-OR-A5JZ-01A",0.986412292810765,NA,NA,0.0175190785892945,1.00393137140006,3
"60","TCGA-OR-A5JD-01A",0.802414694420688,NA,NA,0.143657865522604,0.946072559943293,3
"61","TCGA-OR-A5JY-01A",1.01874849797194,NA,NA,-0.173557055598913,0.845191442373026,3
"62","TCGA-OR-A5LR-01A",1.05103141097751,NA,NA,0.0698601678562808,1.12089157883379,4
"63","TCGA-OR-A5LM-01A",1.15591430641752,NA,NA,-0.00958949873707174,1.14632480768045,4
"64","TCGA-OR-A5LD-01A",0.664234261764292,NA,NA,-0.0581066334724583,0.606127628291834,2
"65","TCGA-OR-A5KY-01A",0.643895648084822,NA,NA,-0.00585080525616772,0.638044842828654,2
"66","TCGA-OR-A5LA-01A",0.861544969638091,NA,NA,0.139019108139058,1.00056407777715,3
"67","TCGA-P6-A5OF-01A",0.815304507247481,NA,NA,-0.117795727478022,0.697508779769459,2
"68","TCGA-OR-A5LG-01A",0.891177234342485,NA,NA,-0.14821891571998,0.742958318622505,2
"69","TCGA-OR-A5J1-01A",0.867654623437447,NA,NA,-0.11141683092407,0.756237792513378,3
"70","TCGA-OR-A5L4-01A",1.01393277175352,NA,NA,-0.17722282860378,0.836709943149741,3
"71","TCGA-OR-A5KX-01A",1.11369027539716,NA,NA,-0.133715370903171,0.979974904493985,3
"72","TCGA-OR-A5K1-01A",1.08069262328929,NA,NA,0.0322174047290722,1.11291002801836,4
"73","TCGA-OR-A5L9-01A",1.02251776380322,NA,NA,-0.0571905277399736,0.96532723606325,3
"74","TCGA-OR-A5KT-01A",0.947138495141482,NA,NA,-0.089199903827207,0.857938591314275,3
"75","TCGA-OR-A5J6-01A",1.03809136052593,NA,NA,-0.306588492722943,0.731502867802991,2
"76","TCGA-OR-A5KU-01A",0.954354492907018,NA,NA,-0.0402357705450598,0.914118722361958,3
