"","ID","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER"
"1","TCGA-OR-A5J2-01A",0.114305100030368,0.107734754792973,0.218268230616598,0.110752421829319,0.0761790565426432,0.490378954480438
"2","TCGA-OR-A5K5-01A",0.112181797195239,0.101261786432302,0.217553476529202,0.111509716983639,0.0718587071669805,0.480682207650921
"3","TCGA-OR-A5JW-01A",0.112546381582667,0.108497440430622,0.209989448594223,0.110971385973489,0.0780363304933976,0.477821015483294
"4","TCGA-OR-A5L8-01A",0.108297159833963,0.106160319018999,0.212800862531914,0.106651467998635,0.0671064441738102,0.479648380657878
"5","TCGA-OR-A5JT-01A",0.116491109631879,0.103448168020273,0.222406605534191,0.109953788434075,0.077401602480317,0.481026985916346
"6","TCGA-OR-A5JO-01A",0.117524611895321,0.106980545837269,0.264545289259712,0.124000984642815,0.100605062884989,0.509006744059342
"7","TCGA-OR-A5JP-01A",0.113432416880745,0.100787254247801,0.219579924653204,0.110843816777728,0.0764638159426136,0.475699847046712
"8","TCGA-OR-A5JI-01A",0.110221573084737,0.108518043543028,0.221376113828011,0.106002068566305,0.0757288454972021,0.478617108865547
"9","TCGA-OR-A5KO-01A",0.109863625291173,0.111596096988773,0.208102414477393,0.103170189647035,0.071174626856142,0.476360858224067
"10","TCGA-OR-A5LE-01A",0.110893947385236,0.099760184477801,0.216632693415261,0.104723252757093,0.062965195633377,0.475630705459649
"11","TCGA-OR-A5JX-01A",0.109539369277173,0.107590514225973,0.213053311694524,0.107991048289845,0.0708943942283515,0.480462619534934
"12","TCGA-OR-A5LN-01A",0.108946157660631,0.108748540891556,0.22430497025193,0.109826763915897,0.0742589069210105,0.48164122424817
"13","TCGA-OR-A5LL-01A",0.109050678983461,0.098097368393419,0.220742856642941,0.110429899945382,0.0744647589428315,0.481842745935101
"14","TCGA-OR-A5K8-01A",0.107626434516276,0.10356023436811,0.210262529217105,0.102632675921497,0.0642741681130082,0.475725204362172
"15","TCGA-OR-A5L3-01A",0.107481850341097,0.101455987859252,0.202412247164907,0.103568832249265,0.0574306582199595,0.474364064134458
"16","TCGA-OR-A5JG-01A",0.110001305531683,0.103689599138231,0.212253334594297,0.107640667792745,0.0792119265786457,0.480168517542385
"17","TCGA-OU-A5PI-01A",0.115117758894411,0.107425545663798,0.217145290511117,0.108990169900757,0.0728909096404891,0.484996979989091
"18","TCGA-OR-A5KW-01A",0.110068305151827,0.103444504294198,0.211297021489735,0.105604132107084,0.0675434721882231,0.483126394955736
"19","TCGA-OR-A5JM-01A",0.116194878543677,0.101490076722911,0.210024108622461,0.106872416746469,0.0660675822698136,0.478386014349321
"20","TCGA-OR-A5L6-01A",0.108962357394918,0.101125844559956,0.22552092699424,0.107621962752051,0.06860430529526,0.48077753272655
"21","TCGA-OR-A5J9-01A",0.109189316002329,0.106060915715172,0.223848985528342,0.110078859146659,0.0701267196415931,0.475383026146783
"22","TCGA-OR-A5K2-01A",0.115049291829268,0.102944210660323,0.213613463810432,0.112241959723688,0.077730077158799,0.483839038466631
"23","TCGA-OR-A5LT-01A",0.108515272796501,0.107152522344598,0.207329376862254,0.105454755078025,0.0665099424715006,0.482325755520272
"24","TCGA-OR-A5J5-01A",0.107618693883771,0.10598705100083,0.207039671306521,0.103764247907253,0.0666197256507637,0.475823207197753
"25","TCGA-OR-A5LH-01A",0.113346640833902,0.101331085697995,0.227970933776226,0.112179254174732,0.0778072442125312,0.481001868637592
"26","TCGA-OR-A5JA-01A",0.111359328734094,0.10459982754626,0.212639398699942,0.109488613855963,0.0759992196121505,0.482072221710913
"27","TCGA-OR-A5LJ-01A",0.110903521929612,0.111972227281022,0.224359500813452,0.108393560573352,0.0748869006711601,0.478893175264991
"28","TCGA-OR-A5JL-01A",0.115042002764542,0.101086179138297,0.223572545947542,0.110742195097254,0.0816946681736904,0.481846829590253
"29","TCGA-OR-A5JQ-01A",0.11941023458115,0.113605718249191,0.238926854172037,0.114823257478848,0.0823154539426845,0.494409587518245
"30","TCGA-PK-A5HA-01A",0.11191653728483,0.105608161721343,0.228717631350826,0.111374408076444,0.0944453400419254,0.491754506517167
"31","TCGA-OR-A5LO-01A",0.108484371332319,0.106825101316979,0.209196884769533,0.1024196557184,0.0655895340251164,0.478545937240528
"32","TCGA-OR-A5K0-01A",0.118828940378606,0.0948921126847243,0.219748584895054,0.111950484427895,0.0702222259190377,0.476575524392884
"33","TCGA-OR-A5K6-01A",0.109469064056274,0.106989168547801,0.208854200798717,0.114143498945202,0.0779571980216809,0.482778522858288
"34","TCGA-OR-A5LB-01A",0.112509436881684,0.104762550534896,0.211423739789994,0.105205981744744,0.0715568767140908,0.475519844558498
"35","TCGA-OR-A5J7-01A",0.116826192829951,0.108201628904175,0.210934210552933,0.107831966780823,0.0690485327310801,0.478379874122692
"36","TCGA-OR-A5LC-01A",0.111719020237545,0.10557605341183,0.215195432918535,0.110009353216454,0.074402387331995,0.480829561895273
"37","TCGA-OR-A5JK-01A",0.116980022753317,0.113061085294735,0.232473182869622,0.114985031170957,0.0797206624758364,0.485845156169257
"38","TCGA-PK-A5H9-01A",0.114263110836639,0.104172200808679,0.232655815484269,0.11634221368899,0.0866591797094103,0.488032943642595
"39","TCGA-PK-A5H8-01A",0.112688671627678,0.105683879954385,0.213762623189243,0.116909158531551,0.0872189289672345,0.481753318896338
"40","TCGA-OR-A5LK-01A",0.113066644029291,0.109128895850163,0.226600175975302,0.113574908800588,0.084937273986093,0.49353907480734
"41","TCGA-OR-A5LP-01A",0.11491400724291,0.111231116524578,0.224903792637166,0.113560466295577,0.085773882700307,0.490665366563372
"42","TCGA-OR-A5JV-01A",0.116930613539648,0.113888919761104,0.225424355684089,0.128614056896541,0.10091070796113,0.489237231672824
"43","TCGA-OR-A5JE-01A",0.116565882632582,0.103310580932843,0.214075669598542,0.11291790566154,0.0803516040731592,0.484472663959864
"44","TCGA-OR-A5JR-01A",0.113341622764396,0.105197322382456,0.232430999638383,0.112054284317052,0.0849091475576567,0.486401558018876
"45","TCGA-OR-A5JB-01A",0.11214407860321,0.102096510364815,0.26652718053236,0.133003950883389,0.0893904739932472,0.508045405756165
"46","TCGA-OR-A5K4-01A",0.112414006324461,0.103614431532326,0.216864349649382,0.107839939461161,0.0722962570902559,0.481441918558057
"47","TCGA-OR-A5JC-01A",0.110703087815032,0.103866239464803,0.217518991503735,0.109130254358856,0.0758161553087693,0.481858445199988
"48","TCGA-OR-A5JS-01A",0.111107253580585,0.103505182568655,0.218575162786847,0.109435196208947,0.067463905336728,0.482701780395961
"49","TCGA-OR-A5LS-01A",0.111469635632453,0.104110739807736,0.215660925118675,0.106120615347145,0.0701314761032634,0.477258733656573
"50","TCGA-OR-A5KV-01A",0.111971514113387,0.107648467555137,0.209804995084585,0.10584774325938,0.0678294489721351,0.481081771422105
"51","TCGA-OR-A5JJ-01A",0.112758825643321,0.108292362751436,0.225227465857295,0.106561713493983,0.0694876092624868,0.483250158992367
"52","TCGA-OR-A5JF-01A",0.111288925099293,0.104381935341868,0.212283493283164,0.105939346775863,0.0729257226735183,0.473235619144529
"53","TCGA-P6-A5OG-01A",0.120428914299964,0.110083011126586,0.256867857683962,0.137697289825956,0.101444137479914,0.495426682278506
"54","TCGA-PA-A5YG-01A",0.113710746258527,0.111241304099891,0.233641489243376,0.115610358622449,0.0892464526864322,0.488679263032237
"55","TCGA-OR-A5KZ-01A",0.111192969374869,0.102314655039351,0.23635107197345,0.114121250524256,0.0799437582860458,0.488136798014823
"56","TCGA-OR-A5J8-01A",0.120156073572574,0.111150878227377,0.254313119240792,0.134725575472676,0.110552049344132,0.506360320263881
"57","TCGA-PK-A5HB-01A",0.113316801878009,0.104819858610204,0.216375153466747,0.108051655934927,0.0746717571629249,0.486613453559052
"58","TCGA-OR-A5K9-01A",0.112290040914004,0.106607412305323,0.206324249714039,0.106039644425676,0.0717563511553011,0.480379471218236
"59","TCGA-OR-A5JZ-01A",0.123431680465359,0.0992264524450068,0.226780398817219,0.112828495239309,0.0842517520574617,0.482497639605026
"60","TCGA-OR-A5JD-01A",0.1112024246115,0.10290662447337,0.226913637725076,0.112111566881397,0.0788050292822638,0.482971807129023
"61","TCGA-OR-A5JY-01A",0.115729636262263,0.100693816860861,0.218064470833122,0.116990133716927,0.0816587724840767,0.48547375288617
"62","TCGA-OR-A5LR-01A",0.112231915514555,0.1080551730685,0.222894603832029,0.110553461003497,0.0744615080714011,0.490756949496193
"63","TCGA-OR-A5LM-01A",0.111492858197731,0.102977286269324,0.210422600906269,0.107901588304286,0.0741336026672169,0.477660348375016
"64","TCGA-OR-A5LD-01A",0.106190494524065,0.102579683647606,0.204788156024669,0.102223774366744,0.0555538980188478,0.472089527328792
"65","TCGA-OR-A5KY-01A",0.115129076761737,0.109021197918779,0.212305867188819,0.112184282557728,0.0808083607551946,0.484227458390389
"66","TCGA-OR-A5LA-01A",0.110081217834142,0.105397692882583,0.224586374529176,0.107282241856615,0.0783830523240605,0.480468270692123
"67","TCGA-P6-A5OF-01A",0.111083461589877,0.110744952898233,0.213715504684023,0.113433043434723,0.0827241976521227,0.482138175880539
"68","TCGA-OR-A5LG-01A",0.112235451126568,0.107545844381513,0.216106951141589,0.111830177556957,0.0852865092384704,0.486272324586501
"69","TCGA-OR-A5J1-01A",0.108541788541594,0.110683079297324,0.213197397627925,0.111780332156517,0.0741285870049578,0.482710181163476
"70","TCGA-OR-A5L4-01A",0.11373145523825,0.103050630796124,0.219767379722547,0.108108112822508,0.0743776883807874,0.481660169501825
"71","TCGA-OR-A5KX-01A",0.113079552363568,0.102768301440986,0.215905382630092,0.109122274805908,0.0799072612726376,0.473800028619705
"72","TCGA-OR-A5K1-01A",0.112415704125622,0.105156775965025,0.232540676419795,0.109648088735885,0.0691165025818831,0.482894722160316
"73","TCGA-OR-A5L9-01A",0.10688470703364,0.102936958634637,0.213702516408037,0.103449399523,0.0607045782426344,0.476480212431279
"74","TCGA-OR-A5KT-01A",0.124301694467914,0.108292336119705,0.236453018914728,0.120142812112793,0.0957778707973407,0.496636081391609
"75","TCGA-OR-A5J6-01A",0.11532806975343,0.102561920512779,0.221619114475442,0.116324188678279,0.0905115498604744,0.489163411516369
"76","TCGA-OR-A5KU-01A",0.108666553576047,0.107792170222643,0.213681176638359,0.105761572280643,0.0658928369575602,0.481961467639284
