"","ID","aDC_xCell","Adipocytes_xCell","Astrocytes_xCell","B-cells_xCell","Basophils_xCell","CD4+_memory_T-cells_xCell","CD4+_naive_T-cells_xCell","CD4+_T-cells_xCell","CD4+_Tcm_xCell","CD4+_Tem_xCell","CD8+_naive_T-cells_xCell","CD8+_T-cells_xCell","CD8+_Tcm_xCell","CD8+_Tem_xCell","cDC_xCell","Chondrocytes_xCell","Class-switched_memory_B-cells_xCell","CLP_xCell","CMP_xCell","DC_xCell","Endothelial_cells_xCell","Eosinophils_xCell","Epithelial_cells_xCell","Erythrocytes_xCell","Fibroblasts_xCell","GMP_xCell","Hepatocytes_xCell","HSC_xCell","iDC_xCell","Keratinocytes_xCell","ly_Endothelial_cells_xCell","Macrophages_xCell","Macrophages_M1_xCell","Macrophages_M2_xCell","Mast_cells_xCell","Megakaryocytes_xCell","Melanocytes_xCell","Memory_B-cells_xCell","MEP_xCell","Mesangial_cells_xCell","Monocytes_xCell","MPP_xCell","MSC_xCell","mv_Endothelial_cells_xCell","Myocytes_xCell","naive_B-cells_xCell","Neurons_xCell","Neutrophils_xCell","NK_cells_xCell","NKT_xCell","Osteoblast_xCell","pDC_xCell","Pericytes_xCell","Plasma_cells_xCell","Platelets_xCell","Preadipocytes_xCell","pro_B-cells_xCell","Sebocytes_xCell","Skeletal_muscle_xCell","Smooth_muscle_xCell","Tgd_cells_xCell","Th1_cells_xCell","Th2_cells_xCell","Tregs_xCell","ImmuneScore_xCell","StromaScore_xCell","MicroenvironmentScore_xCell"
"19","TCGA-PK-A5H9-01A",0.0657788019879767,1.9045303471124e-19,1.10017556047227e-18,2.09022558803466e-19,0.000733539625033208,0.00179617673370684,7.07970076812094e-19,2.06244033243105e-19,3.83944811096327e-19,0,0.000613090334329572,0.009424528820634,0.00777309174189897,0,0.0569283880415929,0,0.00996963576596811,1.27640346491104e-19,0.00105264967599592,0.00600227184118186,0.0775946420563878,0,0.0580231761024231,0,0.0775495401888129,0.00179749355884977,0.0244293433541624,0.132065514157938,0.0425020698840224,0.00026299908482769,0.0555300449815648,0.00390270813423061,0.0136699023481667,0.005446096011623,0.0175823413893921,0.00296771957054418,0,0,0.0150235813043707,0.0308065448909865,0.0137177690754593,0,1.61453619143569e-18,0.0367308228808762,0.00170603289097888,0,0.00202304242593305,0.00296520421823695,0.00185497225514367,4.79487778532419e-20,0,0.0291565548390254,0.142798093484225,5.65326168078807e-20,0.00210138423717029,0.0318466948523009,0,0.00118804830310947,0,0.070328979484983,0,1.50645721390923e-19,0,0.012624715860052,0.0369665304895191,0.0775720911226004,0.114538621612119
"20","TCGA-OR-A5LR-01A",0.0435653622348256,0.00276195352646512,4.19010428222921e-18,0,0.00745027314528172,0.000789814580777402,0.00431551234823553,0,0.00487162726355371,0,1.95665822858067e-19,0.023318317230734,0.0109106449915434,0,0.0868432003760164,0.0130450701633011,0.00616281254393857,0.00370918330126972,0,0.00238039497900045,0.047923795932822,5.07118404421139e-21,0.064579451939316,0,0.078908310321462,5.61616450653518e-19,0,0.0872523382096024,0.0752345022331039,0.000479514129059912,0.0222129664606813,0.00601860155684602,0.0135095732212159,0.00289790266012487,0.0144566621395554,0.00228949033792972,1.10858918436018e-19,0,0.0185757644477136,0.0180904103598242,0.00296717032678014,3.88936845546508e-18,1.45840890606244e-17,0.0282077158702214,3.53464959867013e-20,1.2751809167772e-18,0.0143865482279328,0.000565229823826276,9.68569149175849e-19,0.0202196754834311,0,0.012667097572275,0.0983526528505061,0,0,0,2.98601615047826e-18,9.97212210073176e-05,0,0.246315731672973,0,4.31056811271281e-18,0.0244092841882033,0.0148099501309646,0.0331375840378282,0.0647970298903746,0.0979346139282028
"21","TCGA-OR-A5JR-01A",0.0501382619881767,7.7792342527812e-19,0,0.00627650144758214,0,0.00552018262776201,0.0174148982438228,0,0,0.00964488073055356,0,0.0169256947258183,0.0192162699392403,0,0.017362187242242,0.00830013126310086,0.0242649478391535,0.00297513852605475,9.44005320886426e-21,0.00434595127164949,0.037953153237424,0,0.0243862237125923,0,1.28388976349319e-18,0,0,0.0441535707797412,0.0393041629123347,0,0.0135303620157739,0.0120188777715501,0.0110718283510221,0.0113693926316869,0.00393185278450745,0.00158522400193014,0,0,0.0223308359171052,0,0.00328090207953391,0,2.28665435752974e-19,0.00479633747875017,0,0,0.0134015501166752,0,0.0217671168506649,0.0925863465783465,1.49369801823656e-21,0.00803978603169789,0,0.00286151898620062,0,5.56960353076843e-18,2.74796776087887e-18,0.000368730472172389,9.43209738428989e-18,0.232205242604105,0,0,0.00739897221939346,0.0315392261730779,0.0456979312875375,0.018976576618712,0.0646745079062495
"22","TCGA-OR-A5L9-01A",0.290121435222191,0.00337989897868024,2.78875603783682e-18,2.5684887360175e-20,0.10480074374581,1.77791271277455e-22,0.0378840839197491,0,0.00960933886536246,0.00519327290497282,9.28098476946468e-20,0.000154015607130775,0.041345956779744,2.79770903752076e-18,0.0995035230352478,0.0497204304652245,0.00378606113870869,8.97799160825805e-20,0.00984693066144694,0.0325090679845208,0.1090484921934,0,0.0370728462101036,0,0.142073033778563,7.99334824009915e-18,0,0.139640241009461,0.253316408466492,0,0.0711908809738676,0.0202156771463188,0.0251017295893793,0.0195555883285296,0.0320345067891856,1.7555589275872e-19,0.0002514000625876,2.40143499076514e-18,0.0253780286396368,0.0171349568160282,0.0214410893704293,0,0.0501358007017946,0.0776184466999117,0,0,0.0227081132601918,0,0,0.0582549433015514,2.08440990416423e-19,0.063796978097901,0.0603324237087467,0,5.38041585929505e-18,5.29399507641161e-19,0,0.000237169824077921,0,1.56748665828659e-17,0,0.00721811102451947,1.36494828554793e-18,0.00442745214164467,0.0709029045983902,0.127250712475322,0.198153617073712
"23","TCGA-OR-A5JV-01A",0.0960574603535863,0,5.72763002500512e-19,0.0245872277731107,0.00937261945998687,0.0326187500735216,0.026518514878662,0.0162332772219275,0.029658972956011,0.047914645055335,2.77244136449149e-20,0.0173126169253525,0.050697582539468,5.32022878139573e-19,0.0679815297746406,0.00498302341094471,0.0608401132352062,0.00484562948750442,9.23448635970494e-19,0.00413730266762517,0.0433582088104489,0.0025536927699147,0.0197738067952612,0,0,0,5.71355178256799e-20,0.0166695889285683,0.0585003576064861,3.11037344327432e-20,0.013798666977756,0.079182993382882,0.0564817229965614,0.0255734928872431,0.0234308938290013,0.00107335112523612,0,4.70973774339579e-18,0.0160984272142706,0.00428192317300979,0.0957997882464089,1.00776167948302e-18,4.62684499560688e-18,0.0113461630799723,0,2.79047708401479e-18,0.0344394302279579,9.68478021960779e-22,4.11868739407758e-20,0,0.0015260072132166,0.0181079524149993,0.0105166297637742,7.2846458281851e-19,1.28845665781387e-20,0,4.1824745656828e-19,0.000701158790324243,0,0.205439923735128,0,0,0.010365871003995,0.0291740803120705,0.175491861877482,0.0216791044052244,0.197170966282706
"24","TCGA-OR-A5JZ-01A",0.0176529408254999,9.97198784359641e-22,0,0,0.0182302520629835,0.00261021063483798,0.00175088233375514,2.1645319573991e-19,0.00851547400579049,0.00807345178226495,0,0.0199073475666296,0.00975961420735826,0,0.024765619437577,0,0,0.00185574110084103,5.89706462910141e-19,0.010543117919594,0.0471198060100785,0,0.0868338385870051,0,0.00243385470046155,7.83643169910561e-20,0,0.0521919073974298,0.178185872323214,0.00279660784470958,0.010556225860581,0.00567572020431415,0.00802064344821343,2.6201332768687e-19,0.0200088116674355,0.00297193873586272,1.81289643051255e-18,0,0.00794255356435185,0,0.00222481646036319,1.40510337875466e-18,0,0.0247444747515015,0,4.45000454065771e-05,0.00866267039931884,1.84292733968724e-20,0,0.0495164568450535,5.62298044094295e-19,0.00751576984600666,0.0204789698375697,0.00401222238377195,5.91395363100802e-20,0,1.90982889294313e-18,0.00222934048863583,1.24549551743889e-18,0.267754786149112,1.96998313927097e-18,0.000559922143768983,0.0132252489161888,0.0271471729025812,0.0389065425455576,0.02477683035527,0.0636833729008277
"25","TCGA-OR-A5L4-01A",0.0640481844106503,0.000475630880969094,2.84109631459213e-18,1.05887998387581e-19,0.0151926668062896,0.00190203969742244,0,6.88466572902803e-18,0,0.00181865047306506,0,7.76324433957565e-20,0,3.48898456523802e-18,0.0465286592191117,0.0106914993044797,0,0.0158343533182592,2.72736105893126e-18,0.00211209105069277,0.155472377584767,5.75018504059291e-19,0.0297577872068956,1.04318943321551e-19,0.0374998412614028,0,0.000488047830129059,0.116754904839133,0.0772411100369676,4.57063642261476e-21,0.0668472971232052,0.0124937153376166,0.0179262863292345,0.0068518757844376,0.00187494698612057,0.000650621568680488,0.00182733886778325,2.36206541362296e-18,0.031473612700257,0.000146869648685485,6.34089224231008e-20,0,0.152620115692312,0.0765636915369769,0,2.00708775379152e-18,0.0140930696479078,0,0,0.0751875275031601,5.85774840769491e-18,0.0204448312742127,0.0973544678184341,0.000673279103323622,0,0,2.50968319381698e-18,0,0,0.0834477451271706,2.09070926693956e-18,0.0147907958345898,0.00471938552295714,0.0128101580441221,0.0109871689162867,0.0967239248635696,0.107711093779856
"26","TCGA-OR-A5JT-01A",0.010146456627015,1.74401610036311e-19,0,9.39704348575527e-19,7.3264802560362e-18,0.00196051385354964,0.00797594492211497,1.03103034341026e-18,0.00810878914888359,0,1.46377668200455e-18,0.011192844963117,0.00318293715774853,0,0.00795736756441181,0.0141999852530128,0.0347112205437627,0.00204493591775971,1.54935955389958e-18,0,0.0573998985760012,1.41147696837318e-18,0.0641633794632097,8.54348454439708e-21,0.0370143784610596,3.40371993918917e-18,8.80850473880724e-20,0.0854826568691468,0.0362346358497904,0.000766470353634527,0.0201278580350796,0.00318732583318031,0.00288717964882365,0.00664828984511432,0.00417765159884782,0.00424864992451384,0,0,0.0183355164761881,0,0,0,3.17341782458393e-18,0.0227830486588617,0,0,0.014018401762881,0,0,0.0787898946642784,0.0181893991653019,0.00481695422220152,0.0652473310391782,0.00144404066197925,0,8.18088448422679e-18,1.35452538819647e-17,0,6.79748404976398e-18,0.221591286716454,0,2.31939453156023e-19,0.00554493931103617,0.019807773714328,0.0123718815967634,0.0472071385185304,0.0595790201152938
"27","TCGA-OR-A5LT-01A",0.0430591827747206,0,0,0,0.0324348976574053,3.608940577574e-20,0,0,0.0186804735986163,0,1.05477290912816e-19,3.84480464426558e-20,0,0,0.00416593489528633,0.00768711003005537,0.000662697035912528,0.000569382210097453,0.0102222576157159,0.000289786569697198,0.00325053543399998,2.07553042823853e-19,0.0104876908906715,0,0.0695496271737664,0,0,0.00106241235945161,0.018013550378627,9.35019837325254e-21,6.96732734436553e-19,0.00108719287363484,0.00492008368260441,0,0.00619253604057514,1.90785583310033e-05,0.00539137138739886,1.14196514566797e-19,0.0166580948564605,3.31941537961321e-18,2.72267880697174e-19,5.74556376646606e-19,0,0,6.32888839165256e-19,0,0.0172035347391306,0.000477295824194074,0,0.0372556421696304,0.000541354212768285,0.00454453265320363,0.0493408361122141,0.0118467386382957,0,4.31737505813227e-18,9.44224069966219e-20,0,3.82621489096058e-18,0.196735380759699,6.85175599946665e-20,0.0237793213985344,0.00301336015482504,0.016801866800759,0.0053645408720675,0.0364000813038832,0.0417646221759507
"28","TCGA-OR-A5K4-01A",2.12919821520729e-18,7.70135987172268e-20,0,5.29562861114399e-19,0.0403988254447425,0.000598447355828472,1.4370523004551e-19,1.63651555468947e-19,0.0104500190710847,2.44094612009715e-18,4.98864383496245e-19,0.010944989525983,0.00164784866938822,2.50069419577166e-18,3.36241859522207e-19,3.05409856158863e-19,0.0458639404400406,0.00502791624693216,0,0,0.00766613247390006,9.15485295761253e-19,0.0338027375821237,0,0.0318503756922484,0,0,0.0285577049875811,0.00358094832492654,3.13820444183081e-19,0.00287514387976292,1.00789051299068e-19,0.00228403934615618,0.00213213767788541,0.0113970999266101,0,4.14806443986917e-19,0,0.0277920893499628,1.74592658637386e-19,0,5.50397719517699e-18,1.76305021766522e-17,0,0.0020972189441134,3.91513483304144e-18,0.0205109108796447,0,0,0.0294217898803431,0.0283860219461127,0.00168702589875218,0.0239916610273883,0.00015605489952535,0,8.46231833905761e-18,0,0.000256816555154339,2.96357026820257e-18,0.234679687890011,9.1717457171495e-18,3.07008738378398e-18,0.0780694544205641,0,0.0148947263017287,0.0197582540830742,0.034652980384803
"29","TCGA-OR-A5L6-01A",0.0739349863879236,8.85295274558375e-05,0.0232520287742595,4.84765922477538e-19,0.0406538590467112,2.21090733580818e-21,0.0176826777365663,0,0.0320319459232096,0.012700989015418,0,0.00111298715126215,0.00806333363853001,6.86027306632264e-19,0.0217723675695838,0.0120016539268388,0.00256517785038949,0.000200167906817717,0.00012457942130933,0.00209850259651258,0.0946079155539334,2.46285574964892e-18,0.0603095325948877,2.14105266805368e-20,0.0428560544694591,2.91265722400412e-18,0.000851503321657273,0.0880889379627371,0.0420094148800956,0.000608647054667995,0.0468780983459895,0.0106828191659177,0.0145627762544457,0.00365703288911759,0.00627349898399758,6.13033729501021e-22,0.00315007788390144,0,0.03881080531689,1.88319470896746e-18,0,1.13170006004046e-19,0.00811119211527929,0.0412169429332949,3.98154363959353e-19,0,0.0158031789467959,1.00906863268316e-18,1.03441762559249e-18,0.0615969516062245,0,0.0185799746466868,0.11779103008509,0.00389356665160051,0,0,0.019843923746844,0,0.00112565890606014,0.044786397757659,6.67023939334433e-18,0.0574397809133998,0.0143474858520681,0.00533872748831764,0.0134452052651267,0.0687762497754241,0.0822214550405508
"30","TCGA-PK-A5H8-01A",0.0644706229215313,9.42451228273148e-20,3.25266754958933e-18,0.0389531916766338,0.0050305004390608,0.00865863495310335,0.0133176611465314,0.00606757567911196,0.0170113393029346,0,0.0011767311841702,0.00679236543603547,0,1.74780652189565e-18,0.00126525688440143,1.18053007478597e-18,0.0038070600737965,0.000941437796571152,6.23390423419807e-19,0.00116989851676016,0.0375556005790983,0.00243445870539362,0.0216927254080942,0,0,1.5390482269906e-19,0.000441250701492877,0.0306908295446017,0.0726540781529844,0.000307668434278373,0.00863068648574168,0.0360386291216777,0.0273004787750747,0.0144140397902629,0.0188281570143236,8.18913151201665e-20,0.00137773298633812,0.00467092119658539,0.0371560478092858,0,0.0210755303778235,0,0.100194115019585,0.0122085130637846,0,0.00306697490164383,0.0167833118254308,4.58454945870359e-19,8.50477534993917e-19,0.0237924839632598,0,0.00729915657557596,0.0664106629894828,0.00244109539519838,0.0061069497766813,0,0.00908595689559638,0.000785075826358691,0,0.0357765584302227,0,0.0158259656014302,0.00429708949123617,0.0312447083071132,0.0875732043518399,0.0187778002895492,0.106351004641389
"31","TCGA-OR-A5JJ-01A",0.0532909815043369,0,0.000663994307020057,0.0456409572838327,0.0528101069733666,2.23444089848934e-21,0,7.26940955490803e-19,0.041498759671473,1.07366666539094e-19,0.00565140770456674,0.00484768644769144,0.00305096526671839,0,0.00437159720989939,0,0.0319056201750949,0.00852217932170496,0.00120826951230445,0,0.0119080806649213,0,5.63073851380565e-20,0,0.0112951710839963,4.12554832192125e-18,0,0.0238335404389902,0,1.25410205587789e-19,0,1.42327779346186e-19,0,0.00341663696094075,0.00256022914591008,1.02428337554811e-19,0.00489238496435868,0,0.0469551004712509,0.0271321733608073,0,1.59580377283062e-18,0.251580699951512,0.00823173401070573,0.00629307985156493,0,0.0247634628605839,5.40293950955053e-19,0,0.00581016687232447,0.00181118872541177,0.00462654552912343,0.0136332015044851,0.00769420888844255,3.26436147577266e-19,1.18789097693488e-18,0.0400349973069468,5.84488516767919e-22,0,0,0,0.0462990177947402,0.0264943099690314,4.17382310726009e-18,0.0353659152516228,0.0116016258744588,0.0469675411260816
"32","TCGA-OR-A5JL-01A",0.0488371610340766,2.02961957815287e-20,0,0,0.0158560542170512,0.000621969687801114,4.23341078933305e-18,0,0,0,0,5.32432283578337e-19,0.00111810085913044,0,0.106189913131314,0,0.0176782787959345,0.0198623235682494,1.82026182966327e-19,0.00408651929225275,0.082435351661014,8.77913914039885e-20,0.011227350353918,0,2.85290338383424e-18,0.00226858741427056,0.00335848739181559,0.13668904418163,0.119630244855611,0,0.0238175673119723,0.0347040440764259,0.0188835779525596,0.0315084158946623,0,4.4663155856904e-05,0.0055137601650635,1.29744298774233e-17,0.0205662426410201,2.3921877178354e-18,0.000854430419880258,3.60842394010037e-18,0.0323092458936391,0.0366343957258578,0.00449556963047137,0,0.0192640237191752,0.00210413528521746,8.90427831299824e-18,0.014381422922429,0.00993576465322679,0.0300311639984554,0.0494861946569799,0.00838511599237657,0.00182158561748657,0.00447629191629095,9.34574996333033e-18,0.000605388676507037,0,0.126803083252596,4.68933633639516e-18,4.19233373534915e-19,0.0370052044915495,0,0.0278327527158509,0.041217675830507,0.0690504285463579
"33","TCGA-OR-A5KY-01A",0.0667057448409116,3.25423241055933e-19,0.018152357256623,0.00407778063576478,0.066819263924927,7.12627732775558e-21,0,0,0,0.0365295036699825,1.41725131846095e-20,0,6.87787726068583e-18,0,0.0847357853250575,0,0.0181680593695457,0,0,4.14912687324409e-19,0.0430421108196313,4.53851939223412e-18,0.000898441104418873,5.98553039035162e-19,0.0299614393688026,0,0.000479688611133036,0.0494912025380468,0,1.52943617405843e-18,0.00787250470463477,0.0217027760724249,0.0232728212298505,0.0023803720014851,0.00409188401922006,4.92253208760298e-20,0.00157410897298569,1.20353733853707e-17,0.0372711770380557,0.0263280010753742,0.000592287455031009,0.00181928801433773,0.204232299972372,0.0255161729537647,0.000463384339826603,0,0.0291812005479993,5.133213440964e-20,7.50783339995211e-18,0.00589817943062806,0.00553849395485234,0.0186790948253177,0.0644205851167793,0.00640669347495039,1.5904222116677e-18,0,0.0414593150049029,9.28450396856103e-20,0,0.0224965537905893,0,0.046604809441797,0.0730091015567131,5.39072838637453e-18,0.0203098187882938,0.0365017750942169,0.0568115938825108
"34","TCGA-OR-A5LC-01A",0.123116283106271,9.37235169960029e-20,4.86817863518712e-20,2.25934015867989e-18,0.0213145558709674,0,6.63483841174675e-18,0,0.0326158569914664,6.15617391389783e-19,1.02258276444947e-18,8.96123242549594e-19,0,1.78718165598014e-18,2.69578061587354e-22,1.10492860325044e-18,0.0289084458297722,0.00374132075267271,0.00127475488327705,1.77187884641528e-20,0.0338277294147938,0,0,1.73200865082453e-20,0,1.14713897151621e-17,1.31037383524706e-18,0.134798416093429,0,1.05375183045787e-19,0.0241796043986681,0,0.00394968047269631,8.29997264963133e-20,0.000227152573241768,0.000102884419698836,0.00164033056965114,0,0.039725370946747,0.0331496458249422,0,3.39240349456664e-18,0.386452012287788,0.0236216637791027,1.00041515211359e-18,1.51279256652535e-17,0.0123701702052831,5.61436513151973e-19,0,0.0445200448909469,0,0.0273761599562416,0.0258791733259291,0,2.5856731584053e-19,2.18902901603728e-18,0.0256847510314334,0,0,3.29267511212291e-18,0,0.0253463454371682,0.0964860317370985,5.53268766684483e-18,0.000151435048827848,0.0169138647073969,0.0170652997562247
"35","TCGA-OR-A5LJ-01A",0.186337022674591,0,4.54222047254532e-18,0.0457070918814169,0.00845992276174749,0.00730112107443835,0,0.0121370196982905,0.0807106882858918,0.0243179709437532,0.00235925424167877,0.0156806994888427,0.00796431796042939,0.00099786730783005,0.00312872006529834,8.78663324186235e-18,0.00031692562925755,0.00529385473840849,8.86300120912804e-21,0.00874946799503667,0.0250808780312046,2.72965921443368e-19,0.00498741345945069,0,9.31736382645733e-18,0,0,0.000599660155939879,0,0,0.000931334463314729,0.00698038413670882,0.0145707193461474,3.65537033477416e-18,0.00910848902988107,0.000246788933383191,0.00394310961172016,0.00804875461596908,0.0131204583026613,0.0467933636754436,2.02140908333999e-18,0.0171086374724232,0.195655237063179,0.0118080496912494,0,0.00245110697472786,0.0191481252999876,3.97224434807186e-19,1.44079886209277e-18,0.0487772399047328,1.8395528957723e-18,0.00618784420747873,0.0505638910483048,0.0190291321821995,0,0,0.0426614965008293,1.56049693430555e-20,0,0.0197417496752221,4.6495072516389e-18,0.0117520967427515,0.0592427952157132,2.79188308016968e-05,0.0655754348201178,0.0125404390156023,0.0781158738357201
"36","TCGA-OR-A5JA-01A",0.0560515029553128,0,9.86107624768297e-19,0.00456288136506171,0.0728152120251936,5.8410281043543e-20,3.97156916035825e-18,0,0,1.27710093728266e-18,6.39417134409355e-19,1.82881973247554e-18,2.87114937355883e-19,0,0.0192766299297699,9.57300989479216e-19,0.0058068312577143,0.00706945058765751,0.000634603080504567,0,0.0120504122731775,3.07482171155292e-19,0.0285385755474345,0.000392920882676565,0.0218953097956483,0.00269950636728606,0.00163470239954375,0.0117353641121854,1.55281879569326e-18,0,7.2630621547401e-20,0.00661415947783231,0.006208887644517,0.0162628889902211,0.00719055122850763,0,0.0024966417194657,0,0.0241399411499217,0,1.00210383749379e-18,0.000716808409732265,0.179341766132071,0.00854348381123985,0.00299656773847872,0,0.01761958720502,0.0010147399262132,0,0.0356410295134383,0,0.00647577981369602,0.0540622597524134,0.0131183461718595,0,0,0.0167990702384286,0,0.0022342185755614,0.0201803227383487,0,0.0330232517816706,0.0474385661869985,0,0.0129215546650766,0.0169728610344129,0.0298944156994895
"37","TCGA-OR-A5J1-01A",0.0810453555422296,0,7.83817742483222e-19,0,0.053225515587969,0.00525824307693619,0,6.54583456240663e-20,0.0524996664692122,0.0405956203897909,0.00125964772402876,0.00884513006399562,0.00586008024514329,0,0.0251748675307213,3.68532294278059e-18,0.0262009610248627,0.00265625184321369,0,0.00554554846465504,0.0235143254370329,0,0.00601002527236934,8.51104838363006e-20,1.38869934891532e-17,4.35623533451338e-19,4.636634261113e-21,0.0376764227736791,0.0305767126775328,0,0.00836279192234128,0.0205474453355371,0.0189369820561844,0.00904365838410722,0.00601489966618778,5.86532303036958e-20,0.00293082276851017,0,1.89482414152871e-18,0.0429678399357279,0.00393675878367132,0,0.199804277270968,0.0200038477226404,0.00288634973344206,1.70280284549276e-18,0.0226009568332797,4.38166399383564e-19,0,7.6065243890594e-20,0.00171069420306816,0.0641155032779703,0,0,4.5175018127516e-22,0.00145239099148076,0.00132065099480574,0,1.57265318990188e-19,0.0614290804601556,4.8288638261228e-19,0.00699026350629566,0.0151185358973196,0.0233467337378026,0.0299265215426979,0.0117571627185165,0.0416836842612144
